TIMESTAMP_START,TIMESTAMP_END,TA_F_MDS,TA_F_MDS_QC,TA_ERA,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA,PA_ERA,PA_F,PA_F_QC,P,P_ERA,P_F,P_F_QC,WS,WS_ERA,WS_F,WS_F_QC,WD,USTAR,RH,NETRAD,PPFD_IN,PPFD_DIF,PPFD_OUT,SW_OUT,LW_OUT,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_RANDUNC_METHOD,LE_RANDUNC_N,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_RANDUNC_METHOD,H_RANDUNC_N,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT,NEE_CUT_REF,NEE_VUT_REF,NEE_CUT_REF_QC,NEE_VUT_REF_QC,NEE_CUT_REF_RANDUNC,NEE_VUT_REF_RANDUNC,NEE_CUT_REF_RANDUNC_METHOD,NEE_VUT_REF_RANDUNC_METHOD,NEE_CUT_REF_RANDUNC_N,NEE_VUT_REF_RANDUNC_N,NEE_CUT_REF_JOINTUNC,NEE_VUT_REF_JOINTUNC,NEE_CUT_USTAR50,NEE_VUT_USTAR50,NEE_CUT_USTAR50_QC,NEE_VUT_USTAR50_QC,NEE_CUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_RANDUNC,NEE_CUT_USTAR50_RANDUNC_METHOD,NEE_VUT_USTAR50_RANDUNC_METHOD,NEE_CUT_USTAR50_RANDUNC_N,NEE_VUT_USTAR50_RANDUNC_N,NEE_CUT_USTAR50_JOINTUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_CUT_MEAN,NEE_VUT_MEAN,NEE_CUT_MEAN_QC,NEE_VUT_MEAN_QC,NEE_CUT_SE,NEE_VUT_SE,NEE_CUT_05,NEE_CUT_16,NEE_CUT_25,NEE_CUT_50,NEE_CUT_75,NEE_CUT_84,NEE_CUT_95,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_CUT_05_QC,NEE_CUT_16_QC,NEE_CUT_25_QC,NEE_CUT_50_QC,NEE_CUT_75_QC,NEE_CUT_84_QC,NEE_CUT_95_QC,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,RECO_NT_CUT_REF,RECO_NT_CUT_USTAR50,RECO_NT_CUT_MEAN,RECO_NT_CUT_SE,RECO_NT_CUT_05,RECO_NT_CUT_16,RECO_NT_CUT_25,RECO_NT_CUT_50,RECO_NT_CUT_75,RECO_NT_CUT_84,RECO_NT_CUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,GPP_NT_CUT_REF,GPP_NT_CUT_USTAR50,GPP_NT_CUT_MEAN,GPP_NT_CUT_SE,GPP_NT_CUT_05,GPP_NT_CUT_16,GPP_NT_CUT_25,GPP_NT_CUT_50,GPP_NT_CUT_75,GPP_NT_CUT_84,GPP_NT_CUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,RECO_DT_CUT_REF,RECO_DT_CUT_USTAR50,RECO_DT_CUT_MEAN,RECO_DT_CUT_SE,RECO_DT_CUT_05,RECO_DT_CUT_16,RECO_DT_CUT_25,RECO_DT_CUT_50,RECO_DT_CUT_75,RECO_DT_CUT_84,RECO_DT_CUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,GPP_DT_CUT_REF,GPP_DT_CUT_USTAR50,GPP_DT_CUT_MEAN,GPP_DT_CUT_SE,GPP_DT_CUT_05,GPP_DT_CUT_16,GPP_DT_CUT_25,GPP_DT_CUT_50,GPP_DT_CUT_75,GPP_DT_CUT_84,GPP_DT_CUT_95,SWC_F_MDS_6,SWC_F_MDS_6_QC
202307030000,202307030030,12.1,0,12.982,12.1,0,0,0,0,0,0,0,294.57,0,319.332,294.57,0,359.215,0,321.32,359.215,0,2.279,0,3.358,2.279,0,98.62,98.826,98.62,0,0,0,0,0,4.93,4.719,4.93,0,235.8,0.92,83.86,-81.66,0.05,0.68,-0.03,-4.06,373.66,406.75,0,13.15,13.17,13.11,12.68,11.41,9.89,0,0,0,0,0,0,18.85,20.674,26.535,23.689,10.854,0,3,3,3,3,-0.28,0,9.74,0,12.8624,10.4343,17.9699,9.76159,1,36,11.2469,-87.19,0,-114.674,-160.862,-93.4053,29.8136,1,39,58.2179,366,1,1,5.14,5.14,0,0,0.951416,0.951416,1,1,16,16,0.951416,0.951416,5.14,5.14,0,0,0.951416,0.951416,1,1,16,16,0.951416,0.951416,5.14,5.14,1,1,0.000000000000000711112,0.000000000000000711112,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37183,6.35254,6.28646,0.0176944,5.89355,6.23559,6.29354,6.31479,6.3238,6.35254,6.36684,6.28743,6.31027,6.29886,0.0117622,6.21387,6.28358,6.28988,6.31027,6.32389,6.34242,6.35926,1.23183,1.21254,1.14646,0.0176944,0.753549,1.09559,1.15354,1.17479,1.1838,1.21254,1.22684,1.16887,1.17027,1.15886,0.0117622,1.07387,1.14358,1.14988,1.17027,1.18389,1.20242,1.21926,5.50632,5.75338,5.47723,0.0680208,4.60089,4.79654,5.19987,5.63805,5.74962,5.75624,5.978,5.61151,5.61096,5.61888,0.0410511,4.75254,5.45282,5.61096,5.6723,5.70508,5.75624,5.97302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
202307030030,202307030100,11.95,0,12.859,11.95,0,0,0,0,0,0,0,300.7,0,319.332,300.7,0,357.975,0,321.32,357.975,0,2.258,0,3.298,2.258,0,98.61,98.813,98.61,0,0,0,0,0,4.62,4.698,4.62,0,232.9,0.811,83.85,-74.45,0.13,0.68,-0.04,-4.23,372.96,407.16,0,13.1,13.13,13.09,12.67,11.41,9.9,0,0,0,0,0,0,18.84,20.675,26.534,23.686,10.855,0,3,3,3,3,-0.42,0,14.7,0,19.3337,15.7479,27.1209,10.5645,1,35,13.5161,-83.21,0,-109.439,-153.519,-89.1415,29.2118,1,40,55.953,367,1,1,4.52,4.52,0,0,1.23639,1.23639,1,1,17,17,1.23639,1.23639,4.52,4.52,0,0,1.23639,1.23639,1,1,17,17,1.23639,1.23639,4.52,4.52,1,1,0.000000000000000284445,0.000000000000000284445,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32938,6.30609,6.24294,0.0175523,5.85519,6.19196,6.24949,6.27051,6.28604,6.30609,6.32367,6.24771,6.26649,6.25722,0.0116879,6.17306,6.24433,6.24771,6.26694,6.28385,6.30452,6.31685,1.80938,1.78609,1.72294,0.0175523,1.33519,1.67196,1.72949,1.75051,1.76604,1.78609,1.80367,1.7449,1.74649,1.73722,0.0116879,1.65306,1.72433,1.72771,1.74693,1.76385,1.78452,1.79685,5.4672,5.73675,5.44507,0.0700329,4.55418,4.73931,5.17517,5.6158,5.73263,5.7396,5.95874,5.5799,5.57919,5.58862,0.0424248,4.69595,5.39985,5.57919,5.6393,5.68527,5.73952,5.95373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
202307030100,202307030130,12,0,12.737,12,0,0,0,0,0,0,0,293.96,0,317.825,293.96,0,358.727,0,319.541,358.727,0,2.187,0,3.239,2.187,0,98.59,98.799,98.59,0,0,0,0,0,4.86,4.678,4.86,0,236,0.961,84.41,-81.77,0.25,0.68,-0.04,-4.07,373.18,407.34,0,13.05,13.1,13.07,12.66,11.41,9.9,0,0,0,0,0,0,18.83,20.676,26.533,23.682,10.856,0,3,3,3,3,-0.54,0,5.88,0,7.73346,6.29915,10.8483,11.2547,1,33,11.749,-101.87,0,-133.87,-187.362,-109.006,28.4497,1,41,64.6777,368,1,1,5.98,5.98,0,0,1.28656,1.28656,1,1,19,19,1.28656,1.28656,5.98,5.98,0,0,1.28656,1.28656,1,1,19,19,1.28656,1.28656,5.98,5.98,1,1,0.000000000000000568889,0.000000000000000568889,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33814,6.31628,6.25208,0.0174811,5.8661,6.2022,6.26018,6.28064,6.29059,6.31628,6.33273,6.25708,6.27696,6.26688,0.0115947,6.18694,6.25385,6.25741,6.27703,6.29059,6.31286,6.32542,0.35814,0.336278,0.272075,0.0174811,-0.113899,0.222198,0.280181,0.30064,0.310593,0.336278,0.352733,0.295446,0.296959,0.286877,0.0115947,0.206941,0.273846,0.277406,0.297032,0.310593,0.332859,0.345421,5.4882,5.7501,5.46381,0.0689324,4.58939,4.77278,5.18891,5.62869,5.74559,5.75301,5.97276,5.59736,5.59674,5.6059,0.0416882,4.72924,5.42631,5.59674,5.65669,5.69889,5.75259,5.9677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
202307030130,202307030200,12.04,0,12.656,12.04,0,0,0,0,0,0,0,295.07,0,317.825,295.07,0,359.232,0,319.541,359.232,0,2.152,0,3.256,2.152,0,98.58,98.786,98.58,0,0,0,0,0,4.97,4.601,4.97,0,230.7,0.962,84.7,-80.82,0.45,0.67,-0.03,-4.11,373.44,407,0,13,13.06,13.04,12.65,11.41,9.9,0,0,0,0,0,0,18.8,20.678,26.532,23.68,10.857,0,3,3,3,3,-0.62,0,15.67,0,20.5923,16.787,28.8207,11.1417,1,35,14.2728,-99.96,0,-131.36,-183.849,-107.086,27.5289,1,41,63.2135,369,1,1,6.5,6.5,0,0,1.37586,1.37586,1,1,21,21,1.37586,1.37586,6.5,6.5,0,0,1.37586,1.37586,1,1,21,21,1.37586,1.37586,6.5,6.5,1,1,0,0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.34433,6.32363,6.25857,0.0174106,5.87455,6.20974,6.26813,6.28798,6.29516,6.32363,6.33917,6.264,6.28471,6.27396,0.0115089,6.19801,6.26088,6.26611,6.28346,6.29516,6.31888,6.33162,-0.155669,-0.176369,-0.241432,0.0174106,-0.625453,-0.290261,-0.231867,-0.212025,-0.204842,-0.176369,-0.160827,-0.216741,-0.215291,-0.226035,0.0115089,-0.301994,-0.239119,-0.233891,-0.216535,-0.204842,-0.181124,-0.168384,5.50623,5.76195,5.48006,0.0679892,4.62053,4.80185,5.19638,5.63983,5.75706,5.76492,5.98513,5.61239,5.61185,5.62083,0.0410565,4.75817,5.44886,5.61185,5.67157,5.71075,5.76401,5.98002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
202307030200,202307030230,11.93,0,12.575,11.93,0,0,0,0,0,0,0,293.91,0,315.464,293.91,0,359.011,0,316.751,359.011,0,1.977,0,3.273,1.977,0,98.58,98.773,98.58,0,0,0,0,0,5.03,4.523,5.03,0,229.2,0.937,85.84,-81.45,0.58,0.68,-0.04,-4.12,372.93,407.16,0,12.96,13.02,13.02,12.64,11.41,9.9,0,0,0,0,0,0,18.79,20.681,26.532,23.678,10.859,0,3,3,3,3,-0.68,0,5.53,0,7.26711,5.91739,10.1709,10.9711,1,35,11.4153,-86.59,0,-113.561,-159.259,-92.6558,25.1418,1,40,55.4051,370,1,1,5.8,5.8,0,0,1.41167,1.40708,1,1,23,22,1.41167,1.40708,5.8,5.8,0,0,1.41167,1.44164,1,1,23,21,1.41167,1.44164,5.8,5.8,1,1,0.000000000000000568889,0.000000000000000568889,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31219,6.28859,6.22565,0.0172889,5.84607,6.17694,6.23489,6.25261,6.26502,6.28859,6.30652,6.23414,6.25185,6.24264,0.0114577,6.16681,6.23028,6.23691,6.25166,6.26607,6.28909,6.3011,0.512193,0.488586,0.425652,0.0172889,0.0460744,0.376945,0.434893,0.452615,0.46502,0.488586,0.506519,0.450256,0.451845,0.442642,0.0114577,0.366806,0.430284,0.436914,0.451658,0.466067,0.489093,0.501102,5.47904,5.75126,5.45798,0.0693984,4.59725,4.76251,5.14902,5.62456,5.74601,5.75428,5.97246,5.59053,5.58988,5.60006,0.0420184,4.71932,5.41167,5.58988,5.64858,5.69832,5.75286,5.96732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
202307030230,202307030300,11.77,0,12.415,11.77,0,0,0,0,0,0,0,309.11,0,315.464,309.11,0,358.573,0,316.751,358.573,0,1.751,0,3.114,1.751,0,98.57,98.767,98.57,0,0,0,0,0,5,4.469,5,0,226.3,0.955,87.33,-64.64,0.81,0.68,-0.03,-4.24,372.34,407.69,0,12.92,12.99,12.99,12.63,11.41,9.9,0,0,0,0,0,0,18.77,20.684,26.532,23.675,10.86,0,3,3,3,3,-0.75,0,6.075,1,7.96726,6.49545,11.1733,10.8147,2,257,11.357,-87.25,0,-114.427,-160.473,-93.2885,23.4846,1,32,55.0624,371,1,1,6.49,6.49,0,0,1.55665,1.56946,1,1,21,20,1.55665,1.56946,6.49,6.49,0,0,1.55665,1.61062,1,1,21,19,1.55665,1.61062,6.49,6.49,1,1,0.000000000000000568889,0.000000000000000568889,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26736,6.23953,6.1797,0.0171659,5.80536,6.1308,6.18794,6.20277,6.22493,6.24413,6.26092,6.1921,6.20554,6.1986,0.0114568,6.12159,6.1854,6.19144,6.20277,6.22733,6.24877,6.25587,-0.222636,-0.250469,-0.3103,0.0171659,-0.684644,-0.359195,-0.302058,-0.287235,-0.265068,-0.24587,-0.229075,-0.286257,-0.284462,-0.291404,0.0114568,-0.368411,-0.304599,-0.298562,-0.287235,-0.262671,-0.241232,-0.234125,5.43682,5.73298,5.42317,0.0715807,4.55654,4.70068,5.08262,5.60043,5.72737,5.73604,5.95138,5.55635,5.55553,5.56744,0.0435218,4.65817,5.35477,5.55553,5.61296,5.67789,5.73414,5.94621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
202307030300,202307030330,11.88,0,12.254,11.88,0,0,0,0,0,0,0,342.41,0,309.386,342.41,0,360.886,0,309.572,360.886,0,1.427,0,2.954,1.427,0,98.57,98.76,98.57,0,0.1,0,0.1,0,5.22,4.414,5.22,0,227.3,0.948,89.75,-31.06,3.11,0.97,0.02,-3.79,373.16,407.65,0,12.88,12.95,12.97,12.62,11.41,9.9,0,0,0,0,0,0,18.74,20.687,26.532,23.673,10.861,0,3,3,3,3,-0.76,0,5.73344,1,7.51932,6.13025,10.5451,10.7336,2,260,11.2214,-75.41,0,-98.899,-138.696,-80.6291,24.4454,1,26,49.5018,371,1,1,6.94,6.94,0,0,1.60429,1.63612,1,1,19,18,1.60429,1.63612,6.94,6.94,0,0,1.60429,1.67657,1,1,19,17,1.60429,1.67657,6.94,6.94,1,1,0.000000000000000142222,0.000000000000000142222,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2914,6.2666,6.20453,0.0171117,5.83099,6.15711,6.21474,6.22798,6.2429,6.26731,6.28556,6.21614,6.23218,6.22356,0.0113437,6.14921,6.21202,6.21745,6.23055,6.25137,6.27232,6.28045,-0.648601,-0.673403,-0.735472,0.0171117,-1.10901,-0.78289,-0.72526,-0.712017,-0.697096,-0.672688,-0.654439,-0.709455,-0.707817,-0.716437,0.0113437,-0.790794,-0.727979,-0.722549,-0.709455,-0.688626,-0.667675,-0.659554,5.47585,5.75539,5.45719,0.0695784,4.61743,4.7612,5.11549,5.62392,5.74939,5.75852,5.97546,5.58856,5.58791,5.59896,0.0421442,4.71826,5.40493,5.58791,5.64549,5.70103,5.75611,5.97024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
202307030330,202307030400,11.71,0,12.162,11.71,0,27.9034,10.48,0,0,10.48,0,341.7,0,309.386,341.7,0,361.592,0,309.572,361.592,0,0.893,0,2.807,0.893,0,98.55,98.748,98.55,0,0.01,0,0.01,0,4.39,4.413,4.39,0,228.2,0.97,93.51,-22.61,20.89,17.4,0.44,-0.98,373.04,407.2,0,12.84,12.92,12.94,12.61,11.41,9.9,0,0,0,0,0,0,18.73,20.69,26.532,23.671,10.862,0,3,3,3,3,-0.76,0,11.23,0,14.728,12.0072,20.6546,10.9064,1,23,12.6507,-51.9073,1,-68.0756,-95.4695,-55.4998,23.3787,2,63,37.7419,371,1,0,4.37,4.37,0,0,1.59027,1.69852,1,1,15,13,1.59027,1.69852,4.37,4.37,0,0,1.59027,1.7468,1,1,15,12,1.59027,1.7468,4.37,4.37,1,1,0.000000000000000426667,0.000000000000000426667,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24409,6.21481,6.15604,0.016994,5.78785,6.10836,6.16394,6.17533,6.20069,6.22297,6.23744,6.1717,6.18325,6.17703,0.0113766,6.09942,6.16569,6.16869,6.18139,6.21034,6.22497,6.23271,1.87409,1.84482,1.78604,0.016994,1.41785,1.73836,1.79394,1.80533,1.83069,1.85297,1.86744,1.81139,1.81325,1.80703,0.0113766,1.72942,1.79569,1.79869,1.81139,1.84034,1.85497,1.86271,5.43055,5.73553,5.41976,0.0719296,4.57347,4.69469,5.04398,5.59797,5.72918,5.73871,5.95263,5.55186,5.55102,5.56396,0.043766,4.65247,5.34402,5.55102,5.60728,5.67973,5.7358,5.94739,1.10165,1.06868,1.05378,0.00586143,0.969116,1.01608,1.04036,1.05843,1.06922,1.08101,1.1102,1.06599,1.05843,1.06255,0.00430555,1.0031,1.04729,1.05346,1.06268,1.06922,1.08494,1.09759,-9999,-9999
202307030400,202307030430,11.95,0,12.069,11.95,0,102.611,45.1,0,2.355,45.1,0,326.65,0,319.232,326.65,0,361.593,0,321.202,361.593,0,1.403,0,2.66,1.403,0,98.54,98.735,98.54,0,0,0.002,0,0,4.22,4.412,4.22,0,227.1,0.886,89.97,-2.18,82.51,70.43,1.93,4.29,374.4,406.86,0,12.81,12.88,12.92,12.6,11.41,9.9,0,0,0,0,0,0,18.72,20.693,26.533,23.669,10.864,0,3,3,3,3,-0.73,0,6.81,0,8.9312,7.28132,12.5252,11.5855,1,29,12.2202,-50.73,0,-66.5316,-93.3041,-54.241,32.1696,1,32,43.2828,371,1,0,2.92,2.92,0,0,2.29272,2.43177,1,1,16,13,2.29272,2.43177,2.92,2.92,0,0,2.29272,2.35509,1,1,16,12,2.29272,2.35509,2.92,2.92,1,1,0.000000000000000213334,0.000000000000000213334,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.30119,6.27843,6.21485,0.0169802,5.84539,6.16947,6.22638,6.23822,6.24987,6.27843,6.2958,6.22749,6.24494,6.23515,0.0112056,6.16208,6.22427,6.22774,6.24038,6.26458,6.28203,6.2908,3.38119,3.35843,3.29485,0.0169802,2.92539,3.24947,3.30638,3.31822,3.32987,3.35843,3.3758,3.32342,3.32494,3.31515,0.0112056,3.24208,3.30427,3.30774,3.32038,3.34458,3.36203,3.3708,5.50888,5.77762,5.48711,0.067905,4.68279,4.80643,5.12708,5.64447,5.77085,5.77979,5.99856,5.61617,5.61566,5.62641,0.0409886,4.77151,5.446,5.61566,5.67274,5.72292,5.77745,5.99323,4.28975,4.17353,4.12733,0.0198595,3.84157,4.00788,4.07682,4.14432,4.17524,4.22463,4.31966,4.17299,4.14432,4.15813,0.0146247,3.96184,4.10587,4.13079,4.16133,4.17523,4.23334,4.28902,-9999,-9999
202307030430,202307030500,12.11,0,12.099,12.11,0,183.405,55.64,0,4.205,55.64,0,342.8,0,319.232,342.8,0,361.602,0,321.202,361.602,0,1.738,0,2.598,1.738,0,98.53,98.719,98.53,0,0.01,0.002,0.01,0,4.48,4.428,4.48,0,222,0.845,87.7,23.13,105.39,83.59,2.48,5.49,375.17,406.65,0,12.78,12.86,12.89,12.59,11.41,9.9,0,0,0,0,0,0,18.7,20.694,26.534,23.667,10.865,0,3,3,3,3,-0.62,0,20.01,0,26.2428,21.3949,36.803,14.6666,1,30,18.5895,-26.64,0,-34.9379,-48.9971,-28.4837,32.8543,1,33,36.2027,371,1,0,1.54,1.54,0,0,2.76403,2.82622,1,1,15,13,2.76403,2.82622,1.54,1.54,0,0,2.76403,2.82622,1,1,15,13,2.76403,2.82622,1.54,1.54,1,1,0.000000000000000106667,0.000000000000000106667,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33791,6.31956,6.25273,0.0169754,5.88333,6.20916,6.26484,6.27462,6.29416,6.31956,6.33338,6.26372,6.28507,6.27286,0.0111165,6.20283,6.26152,6.26689,6.27935,6.29849,6.31653,6.32824,4.79791,4.77956,4.71273,0.0169754,4.34333,4.66916,4.72484,4.73462,4.75416,4.77956,4.79338,4.74378,4.74507,4.73286,0.0111165,4.66283,4.72152,4.72689,4.73935,4.75849,4.77653,4.78824,5.56339,5.80764,5.53434,0.0650904,4.76256,4.88279,5.18225,5.67685,5.80046,5.80973,6.03109,5.66091,5.66064,5.66999,0.0390703,4.85569,5.51683,5.66072,5.71812,5.75332,5.80702,6.02569,5.14206,5.00686,4.95542,0.0228216,4.62927,4.82276,4.89433,4.97465,5.00889,5.0686,5.17692,5.00876,4.97465,4.99074,0.0168327,4.76906,4.92728,4.96077,4.99519,5.00876,5.07692,5.14713,-9999,-9999
202307030500,202307030530,11.95,0,12.128,11.95,0,268.452,104.43,0,43.172,104.43,0,326.61,0,311.017,326.61,0,361.754,0,311.498,361.754,0,1.363,0,2.536,1.363,0,98.54,98.702,98.54,0,0.03,0.004,0.03,0,4.27,4.444,4.27,0,225.6,0.806,90.25,51.5,210.62,149.61,4.96,10.47,374.57,405.97,0,12.76,12.83,12.87,12.58,11.41,9.9,0,0,0,0,0,0,18.69,20.695,26.535,23.666,10.867,0,3,3,3,3,-0.47,0,41.78,0,54.7938,44.6716,76.843,17.8027,1,12,29.7604,-25.86,1,-33.915,-47.5625,-27.6498,18.8313,2,174,23.9271,371,1,0,-0.97,-0.97,0,0,3.30979,3.91325,2,2,19,8,3.30979,3.91325,-0.97,-0.97,0,0,3.30979,3.91325,2,2,19,8,3.30979,3.91325,-0.97,-0.97,1,1,0.000000000000000088889,0.000000000000000088889,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29314,6.27053,6.20682,0.0168351,5.8426,6.16304,6.21798,6.22986,6.24365,6.27098,6.28784,6.22171,6.23878,6.22884,0.011113,6.15572,6.21798,6.22171,6.23365,6.26151,6.2756,6.28306,7.26314,7.24053,7.17682,0.0168351,6.8126,7.13304,7.18798,7.19986,7.21365,7.24098,7.25784,7.20728,7.20878,7.19884,0.011113,7.12572,7.18798,7.19171,7.20365,7.23151,7.24561,7.25306,5.52079,5.7893,5.49912,0.0673503,4.72177,4.81215,5.11245,5.65266,5.78177,5.7913,6.00994,5.62653,5.62608,5.63721,0.040584,4.7931,5.45918,5.62613,5.68229,5.73367,5.78714,6.00452,8.53738,8.33854,8.27967,0.0314438,7.83475,8.11875,8.18252,8.30922,8.34423,8.45006,8.5879,8.36385,8.30922,8.33098,0.0233797,8.03998,8.22874,8.29862,8.33552,8.35683,8.4481,8.58036,-9999,-9999
